Issue Type,Issue key,Issue id,Summary,Status,Due date,Priority,Assignee,Assignee Id
Bug,DBPS-72,10356,"Missing ARIA attributes (aria-label, aria-required) on some UI elements affecting accessibility",To Do,,Low,,
Bug,DBPS-71,10354,Missing aria-label attributes for some UI elements affecting screen reader accessibility,To Do,,Low,,
Bug,DBPS-70,10352,Console warning across browsers due to deprecated jQuery .size() method in Bootstrap 3,To Do,,Highest,,
Bug,DBPS-69,10350,Cart table overflows screen and requires horizontal scrolling on Android Chrome,To Do,,Highest,,
Bug,DBPS-68,10348,Incorrect keyboard type triggered for form fields on Android Chrome,To Do,,Highest,,
Bug,DBPS-67,10346,Hero slider swipe gesture not working on Android Chrome,To Do,,Highest,,
Bug,DBPS-66,10344,Cart table requires horizontal scrolling on iOS Safari (not mobile responsive),To Do,,Highest,,
Bug,DBPS-65,10342,Incorrect virtual keyboard type triggered for form fields on iOS Safari,To Do,,Highest,,
Bug,DBPS-64,10340,Hero slider swipe gesture not working on iOS Safari,To Do,,Highest,,
Bug,DBPS-63,10306,All Form Validation error in Edge Browser,To Do,,High,,
Bug,DBPS-62,10304,All Form Validation error in Safari Browser,To Do,,High,,
Bug,DBPS-61,10302,All Form Validation error in FireFox Browser,To Do,,Highest,,
Bug,DBPS-60,10300,All Form Validation error in Chrome Browser,To Do,,Highest,,
Epic,DBPS-59,10298,Cross Browser Functionality,To Do,,Medium,,
Bug,DBPS-58,10265,user gets no indication that submission is failed when the server is down,To Do,,High,,
Bug,DBPS-57,10263,user sends 5 message rapidly back to back,To Do,,High,,
Bug,DBPS-56,10261,Reads Trimmed spaces from the user Inputs,To Do,,High,,
Bug,DBPS-55,10259,labels are missing ,To Do,,High,,
Bug,DBPS-54,10257,no loading indicates in 3G network,To Do,,High,,
Bug,DBPS-53,10255,No rate limit applied even if the form is submitted continuously 10 times,To Do,,High,,
Bug,DBPS-52,10253,Inputs accepts HTML format inputs from users,To Do,,Highest,,
Bug,DBPS-51,10251,CSRF security prevention to be fixed,To Do,,Highest,,
Bug,DBPS-50,10249,inputs accepts SQL injection,To Do,,Highest,,
Bug,DBPS-49,10247,prevent from xss message for security purpose,To Do,,Highest,,
Bug,DBPS-48,10245,No error message even when the data filled with invalid,To Do,,Highest,,
Bug,DBPS-47,10243,user should get message is processing after clicking submit so that it should not be duplicate,To Do,,Highest,,
Bug,DBPS-46,10241,No place holder text in any fields,To Do,,Lowest,,
Bug,DBPS-45,10239,gets submitted only when name field is filled,To Do,,High,,
Bug,DBPS-44,10237,Gets submitted only when email field is there,To Do,,High,,
Bug,DBPS-43,10235,Gets submited when all the fields are empty,To Do,,High,,
Bug,DBPS-42,10233,Submits when message field is having only spaces,To Do,,High,,
Bug,DBPS-41,10231,Submits when message field is empty,To Do,,High,,
